Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8940514317902263,0.01929589503141031,"{'alpha': 0.7541850344417741, 'learning_rate': 'constant'}"
2,0.8930496039729162,0.015568312487477488,"{'alpha': 0.8385544943260834, 'learning_rate': 'invscaling'}"
3,0.8915748198048028,0.018048659223564443,"{'alpha': 0.07446293902765178, 'learning_rate': 'constant'}"
4,0.891115842232926,0.016211535566120015,"{'alpha': 0.928430106454485, 'learning_rate': 'adaptive'}"
5,0.8908195518973663,0.017803639335999915,"{'alpha': 0.8885282084975721, 'learning_rate': 'invscaling'}"
6,0.8907708560852521,0.018915677702429846,"{'alpha': 0.4445154500715578, 'learning_rate': 'invscaling'}"
7,0.8906656933635286,0.016579815459628,"{'alpha': 0.6767000187788934, 'learning_rate': 'invscaling'}"
8,0.8905217901113934,0.01820179651968269,"{'alpha': 0.6452971011960791, 'learning_rate': 'adaptive'}"
9,0.8904272724137534,0.020595790948765735,"{'alpha': 0.25941683493098533, 'learning_rate': 'constant'}"
10,0.8902452723907622,0.017942262660327148,"{'alpha': 0.733707822870952, 'learning_rate': 'constant'}"
