Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8766598305532884,0.012606950489704954,"{'alpha': 0.8885282084975721, 'learning_rate': 'invscaling'}"
2,0.8763737943877962,0.014629435533519565,"{'alpha': 0.2274191440604897, 'learning_rate': 'constant'}"
3,0.8753120509489705,0.016365645326687488,"{'alpha': 0.6452971011960791, 'learning_rate': 'adaptive'}"
4,0.8747034912460195,0.016305315868015955,"{'alpha': 0.7541850344417741, 'learning_rate': 'constant'}"
5,0.874584050857005,0.014424333716732057,"{'alpha': 0.6332716656413698, 'learning_rate': 'constant'}"
6,0.8740747450827115,0.012408132945244543,"{'alpha': 0.520647191719536, 'learning_rate': 'adaptive'}"
7,0.8734170987136306,0.016466062842091914,"{'alpha': 0.4464387056592054, 'learning_rate': 'invscaling'}"
8,0.8729773649541895,0.02295748132654022,"{'alpha': 0.21538326389455387, 'learning_rate': 'invscaling'}"
9,0.8725708307946982,0.023195796236643845,"{'alpha': 0.928430106454485, 'learning_rate': 'adaptive'}"
10,0.8720669739852165,0.02020496569243505,"{'alpha': 0.6767000187788934, 'learning_rate': 'invscaling'}"
