Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8972369609950682,0.014323019959420742,"{'C': 3, 'penalty': 'l2'}"
2,0.8969640989090575,0.014390730801095479,"{'C': 4, 'penalty': 'l2'}"
3,0.8967604409752956,0.014710368117200437,"{'C': 7, 'penalty': 'l2'}"
3,0.8967604409752956,0.014710368117200437,"{'C': 7, 'penalty': 'l2'}"
3,0.8967604409752956,0.014710368117200437,"{'C': 7, 'penalty': 'l2'}"
3,0.8967604409752956,0.014710368117200437,"{'C': 7, 'penalty': 'l2'}"
3,0.8967604409752956,0.014710368117200437,"{'C': 7, 'penalty': 'l2'}"
3,0.8967604409752956,0.014710368117200437,"{'C': 7, 'penalty': 'l2'}"
9,0.8966888916989504,0.014494057018178876,"{'C': 5, 'penalty': 'l2'}"
10,0.8964864063272368,0.014941153411459867,"{'C': 8, 'penalty': 'l2'}"
10,0.8964864063272368,0.014941153411459867,"{'C': 8, 'penalty': 'l2'}"
