Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.876132775408385,0.019824044929699712,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
2,0.8732363402269252,0.013291729973177565,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
3,0.8720090126337812,0.02066201536695013,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
4,0.8716455183988779,0.01287293327194109,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
5,0.8709819402453183,0.013380840830227456,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
6,0.8696869719159894,0.0177919007201055,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
7,0.8691915299635585,0.011620919390582577,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
8,0.8675315729575004,0.01874766288450906,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
9,0.8675182839209556,0.010318860380349676,"{'gamma': 0.9701362588452004, 'learning_rate': 0.3562306514640249, 'max_depth': 29, 'n_estimators': 54}"
10,0.8674325029601444,0.02259576223443308,"{'gamma': 0.40443875571174603, 'learning_rate': 0.46598573003576627, 'max_depth': 9, 'n_estimators': 54}"
