Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8514170297393925,0.024565594149686752,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
2,0.8513882444906826,0.027469269158887488,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
3,0.8487549690190713,0.021612848258311397,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
4,0.8475444481486164,0.021863357919724668,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
5,0.8462725631976455,0.02017899375109313,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
6,0.8458601202450884,0.03448271529648271,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
7,0.8446913747715229,0.020885480186507537,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
8,0.8441267056754302,0.024775941806098704,"{'gamma': 0.37440084707746457, 'learning_rate': 0.9531286103562119, 'max_depth': 18, 'n_estimators': 76}"
9,0.8434891538010552,0.02046617469929656,"{'gamma': 0.4464387056592054, 'learning_rate': 0.6591794910525655, 'max_depth': 85, 'n_estimators': 41}"
10,0.8432253503316511,0.019711236987738575,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
