Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8580572256262287,0.0399989503430926,{'n_estimators': 186}
2,0.8579624550230488,0.03615364232813914,{'n_estimators': 257}
3,0.8576406902022095,0.040578041183034916,{'n_estimators': 190}
4,0.8575335502189931,0.03855132427938939,{'n_estimators': 218}
5,0.8573034061777927,0.034979612009090964,{'n_estimators': 113}
6,0.856469737553024,0.0323021121927406,{'n_estimators': 114}
7,0.856369012173953,0.04263064224592961,{'n_estimators': 201}
8,0.8556291485130305,0.036025029646333646,{'n_estimators': 391}
9,0.85468107461863,0.04002123041929946,{'n_estimators': 55}
10,0.8546274816356092,0.04088007668902265,{'n_estimators': 222}
