Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8626443343411235,0.03132661429674831,{'n_estimators': 190}
2,0.8605496097207693,0.03521871973892378,{'n_estimators': 583}
3,0.8600269459356931,0.0283465634275069,{'n_estimators': 201}
4,0.8599354860959432,0.0309991969397317,{'n_estimators': 186}
5,0.8593995792571475,0.030849735442757258,{'n_estimators': 611}
6,0.8588436698892963,0.02902095390588525,{'n_estimators': 725}
7,0.8585537481750567,0.035195976298504364,{'n_estimators': 669}
8,0.8581005184563566,0.03454382689090033,{'n_estimators': 551}
9,0.8577732356964674,0.028047107671378507,{'n_estimators': 218}
10,0.8574256745105704,0.031129111459280105,{'n_estimators': 222}
