Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8820053110163354,0.020810676095702002,{'n_estimators': 667}
2,0.8814023842094978,0.021989022854593906,{'n_estimators': 725}
3,0.8811108530963685,0.022333381317003242,{'n_estimators': 723}
4,0.8808976767177459,0.021620442079966398,{'n_estimators': 611}
5,0.8807808573497798,0.02324089515722599,{'n_estimators': 715}
6,0.8805404591385118,0.024591702185077842,{'n_estimators': 218}
7,0.8803706905470807,0.02133879013604703,{'n_estimators': 669}
8,0.8803463656324363,0.02446201374172523,{'n_estimators': 420}
9,0.8803459517870074,0.02619609172798736,{'n_estimators': 114}
10,0.8800846313901758,0.028178562285923598,{'n_estimators': 222}
