Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.860582004621274,0.020712340656971383,{'n_estimators': 114}
2,0.8598411983124302,0.023454104108813358,{'n_estimators': 55}
3,0.8577420133580107,0.015615336185704699,{'n_estimators': 190}
4,0.8567174930163584,0.023072919639802528,{'n_estimators': 391}
5,0.8555569784685421,0.020928129529555698,{'n_estimators': 201}
6,0.8551487889273355,0.01966718694572793,{'n_estimators': 222}
7,0.855015346767982,0.021854285169700505,{'n_estimators': 218}
8,0.8549944015910057,0.024455056582813117,{'n_estimators': 611}
9,0.8549255653013599,0.023150716956370207,{'n_estimators': 420}
10,0.8547912494683236,0.02557574645212957,{'n_estimators': 723}
