Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8846326891905874,0.030075901699209043,{'n_estimators': 937}
2,0.8834688064008093,0.031321098668612865,{'n_estimators': 853}
3,0.8834641046569105,0.029681089581933162,{'n_estimators': 667}
4,0.8826901102438238,0.02906700904632301,{'n_estimators': 715}
5,0.8824071089448091,0.031041678642613108,{'n_estimators': 611}
6,0.8820366827989744,0.027114361339629616,{'n_estimators': 904}
7,0.8819815034084769,0.03494809646680845,{'n_estimators': 669}
8,0.8809073446067893,0.03048046488205141,{'n_estimators': 190}
9,0.8807665336996632,0.029498204014571004,{'n_estimators': 927}
10,0.8803885548747543,0.02856053149618251,{'n_estimators': 725}
