Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8833287197231833,0.030960582683541443,{'n_estimators': 391}
2,0.8817814436308039,0.019070551414485392,{'n_estimators': 186}
3,0.8817476002712986,0.022658242094951875,{'n_estimators': 201}
4,0.8817043074411707,0.024734073156315216,{'n_estimators': 257}
5,0.8815530699283818,0.02914422566713215,{'n_estimators': 420}
6,0.8815474600236811,0.021184795874288113,{'n_estimators': 190}
7,0.8807186885698194,0.023119687170744602,{'n_estimators': 218}
8,0.8803193277310924,0.02841079481998155,{'n_estimators': 456}
9,0.879831794824633,0.01722506488958761,{'n_estimators': 113}
10,0.8795247445079262,0.031091936083052944,{'n_estimators': 551}
