Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8912169469703066,0.02340888354593483,{'n_estimators': 715}
2,0.8906733495039603,0.023701724970466083,{'n_estimators': 904}
3,0.8896279529595695,0.021923680298176037,{'n_estimators': 937}
4,0.8881960132890366,0.024269866827842167,{'n_estimators': 667}
5,0.8879264849578682,0.02054345617074414,{'n_estimators': 420}
6,0.8877513133844509,0.018184309997112305,{'n_estimators': 218}
7,0.8876375978572003,0.024903473632369055,{'n_estimators': 456}
8,0.8873923599535575,0.02296091570602673,{'n_estimators': 725}
9,0.8870917702238215,0.01987834836645729,{'n_estimators': 114}
10,0.8868616606697397,0.027330282891117105,{'n_estimators': 723}
