Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8899498557288853,0.020700572625945154,{'n_estimators': 257}
2,0.8878803756796836,0.022028166697389138,{'n_estimators': 420}
3,0.8872021749876421,0.020482059936631047,{'n_estimators': 723}
4,0.8867797077791444,0.021240613903370235,{'n_estimators': 667}
5,0.8867150329351986,0.021852601522075365,{'n_estimators': 583}
6,0.8861605260435226,0.02172229281352112,{'n_estimators': 669}
7,0.8860951384657831,0.019192800033213945,{'n_estimators': 715}
8,0.8860849532699536,0.021060026039455806,{'n_estimators': 904}
9,0.8860011725620481,0.024146183866402306,{'n_estimators': 456}
10,0.8859434641161525,0.023475093819118324,{'n_estimators': 551}
