Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8883642759429353,0.016315422839703303,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
2,0.8869747669245536,0.018528847186949735,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
3,0.8862609525342284,0.00861297113058985,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
4,0.8824621503868304,0.00990013958065767,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
5,0.8824557817655105,0.016012009994522784,"{'gamma': 0.2100179604860788, 'learning_rate': 0.8932934069681703, 'max_depth': 85, 'n_estimators': 83}"
6,0.8812474220878503,0.027907014165573733,"{'gamma': 0.583804998683989, 'learning_rate': 0.7541850344417741, 'max_depth': 41, 'n_estimators': 97}"
7,0.8810663187299543,0.006963336901437635,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
8,0.880039200358666,0.016593239619997476,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
9,0.8797149064824289,0.027180154975127033,"{'gamma': 0.9515689529131096, 'learning_rate': 0.06624879266716055, 'max_depth': 44, 'n_estimators': 41}"
10,0.8792759314396073,0.02000941649269733,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
