Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8724508386117785,0.01398816646096849,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
2,0.8684721056685328,0.01904323875507869,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
3,0.8679736518410375,0.009403683716955514,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
4,0.8670043798641206,0.01868000932018342,"{'gamma': 0.4659223040525834, 'learning_rate': 0.49649395415166897, 'max_depth': 77, 'n_estimators': 12}"
5,0.8651371322810931,0.012138154006412402,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
6,0.8641038062283737,0.0130184323167527,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
7,0.8631776891331088,0.0061555725050285994,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
8,0.8617455080527423,0.02498102284270637,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
9,0.8615580820563519,0.014649733889586592,"{'gamma': 0.40443875571174603, 'learning_rate': 0.46598573003576627, 'max_depth': 9, 'n_estimators': 54}"
10,0.8609231512030258,0.01745555153213715,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
