Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8979087700743772,0.024509660292726543,{'n_estimators': 927}
2,0.896767568313235,0.02202992872387155,{'n_estimators': 723}
3,0.8959830208417155,0.02638549551319789,{'n_estimators': 669}
4,0.8958000551793905,0.02588179794476637,{'n_estimators': 420}
5,0.8956238834795205,0.02624052501136878,{'n_estimators': 937}
6,0.8951181758613158,0.020994024094038315,{'n_estimators': 186}
7,0.8949947579579028,0.024276776684707405,{'n_estimators': 904}
8,0.8949406936509213,0.023849766004125278,{'n_estimators': 218}
9,0.8947394038326685,0.023705219596675566,{'n_estimators': 391}
10,0.8945982480543517,0.024055549853139086,{'n_estimators': 551}
