Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.879676395866144,0.028295319702781797,{'n_estimators': 904}
2,0.8788582464449529,0.027978534591033517,{'n_estimators': 927}
3,0.8785829702606076,0.027065086491268854,{'n_estimators': 937}
4,0.8784633919231167,0.026775093840910712,{'n_estimators': 853}
5,0.8746418972513765,0.028239469299618757,{'n_estimators': 725}
6,0.8745695432755867,0.028395894777547514,{'n_estimators': 723}
7,0.8743554932232811,0.028413615423483217,{'n_estimators': 715}
8,0.871810021956799,0.02935702391738971,{'n_estimators': 667}
9,0.8709076549908609,0.034264403687703095,{'n_estimators': 611}
10,0.8708446815114556,0.029137136873179696,{'n_estimators': 669}
