Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8966055018450609,0.02557569083348585,"{'C': 1, 'penalty': 'l2'}"
2,0.8962055892124292,0.02507062177206898,"{'C': 3, 'penalty': 'l2'}"
3,0.8958631551115659,0.02515774034932098,"{'C': 4, 'penalty': 'l2'}"
4,0.8956575199163114,0.025228425449327966,"{'C': 5, 'penalty': 'l2'}"
5,0.8955242386968468,0.024895760319832275,"{'C': 7, 'penalty': 'l2'}"
5,0.8955242386968468,0.024895760319832275,"{'C': 7, 'penalty': 'l2'}"
5,0.8955242386968468,0.024895760319832275,"{'C': 7, 'penalty': 'l2'}"
5,0.8955242386968468,0.024895760319832275,"{'C': 7, 'penalty': 'l2'}"
5,0.8955242386968468,0.024895760319832275,"{'C': 7, 'penalty': 'l2'}"
5,0.8955242386968468,0.024895760319832275,"{'C': 7, 'penalty': 'l2'}"
