Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8908237823173046,0.021656659848806596,{'n_estimators': 257}
2,0.890142201887595,0.02274953389074417,{'n_estimators': 391}
3,0.8894579314625988,0.026243217957421537,{'n_estimators': 218}
4,0.8891170377863867,0.02052659783480255,{'n_estimators': 222}
5,0.8888489119313936,0.023610635196927677,{'n_estimators': 201}
6,0.8885524836473577,0.02274530155466975,{'n_estimators': 420}
7,0.8884036142500775,0.022592299833570275,{'n_estimators': 114}
8,0.8877999517180333,0.0227264462329284,{'n_estimators': 456}
9,0.8876945130993574,0.023376473178628128,{'n_estimators': 113}
10,0.8868351170837693,0.023826901348442193,{'n_estimators': 611}
