Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8592963708055041,0.024618302551173848,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
2,0.8591281886215498,0.02372608539193692,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
3,0.8572578371978066,0.024752545176228755,"{'gamma': 0.7698372663324627, 'learning_rate': 0.5053132861681092, 'max_depth': 83, 'n_estimators': 91}"
4,0.8526500132200623,0.01651953674020415,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
5,0.8516001103587809,0.025121353394149944,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
6,0.8509641448918828,0.01641835188625509,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
7,0.8508877904102817,0.03210343916974854,"{'gamma': 0.4659223040525834, 'learning_rate': 0.49649395415166897, 'max_depth': 77, 'n_estimators': 12}"
8,0.8503130050925979,0.02633237926428776,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
9,0.8503115566335975,0.012443630031476105,"{'gamma': 0.9701362588452004, 'learning_rate': 0.3562306514640249, 'max_depth': 29, 'n_estimators': 54}"
10,0.8502679649151041,0.013801762735093707,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
