Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8948387957098024,0.02191409491558258,{'n_estimators': 904}
2,0.8936495189046891,0.020693377673153143,{'n_estimators': 725}
3,0.8935921783213969,0.021225756269879742,{'n_estimators': 927}
4,0.893178930669395,0.020584619703142626,{'n_estimators': 715}
5,0.8927693386520135,0.02241398322060094,{'n_estimators': 937}
6,0.8927689707894102,0.02097952637833594,{'n_estimators': 420}
7,0.8924846819712837,0.023201237541464824,{'n_estimators': 853}
8,0.8924787501868051,0.022239691467623102,{'n_estimators': 669}
9,0.8923627355182837,0.023396666864349602,{'n_estimators': 667}
10,0.8923399050454656,0.020148102470272322,{'n_estimators': 456}
