Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.869987975491154,0.017411500242941833,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
2,0.8623328466817644,0.014718434668424556,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
3,0.8601734472174642,0.011325743761741926,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
4,0.8563795192495602,0.014805001021813997,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
5,0.8553784271574566,0.016562071050737755,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
6,0.8546107208957455,0.007106542961611542,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
7,0.8543688282426514,0.008393498392467252,"{'gamma': 0.9515689529131096, 'learning_rate': 0.06624879266716055, 'max_depth': 44, 'n_estimators': 41}"
8,0.8523775879708928,0.01997409923996628,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
9,0.8520692501350746,0.016888146465454505,"{'gamma': 0.40443875571174603, 'learning_rate': 0.46598573003576627, 'max_depth': 9, 'n_estimators': 54}"
10,0.8497201945073515,0.014062289397666813,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
