Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8491699180356138,0.03741538507727373,{'n_estimators': 55}
2,0.8429626044672315,0.046000700622557913,{'n_estimators': 669}
3,0.8425875110646173,0.04249076213653192,{'n_estimators': 218}
4,0.8412412603892447,0.04274826901581194,{'n_estimators': 551}
5,0.8411721367069399,0.04208830805790535,{'n_estimators': 904}
6,0.8409937923185691,0.04372681149459184,{'n_estimators': 853}
7,0.8405823494924647,0.045388903495228713,{'n_estimators': 583}
8,0.8404052006575544,0.04338518803288641,{'n_estimators': 715}
9,0.8402434675648645,0.043267223827387236,{'n_estimators': 937}
10,0.8399819862281438,0.0458364019710753,{'n_estimators': 927}
