Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8914501603651036,0.022736081034533655,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
2,0.888200186230443,0.024054724072765828,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
3,0.8860086677625907,0.019118791208395804,"{'gamma': 0.40443875571174603, 'learning_rate': 0.46598573003576627, 'max_depth': 9, 'n_estimators': 54}"
4,0.8852124061662969,0.02275691412398692,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
5,0.8841696536343676,0.024648196321936558,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
6,0.8837372541355804,0.028095561797466577,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
7,0.8804405614502983,0.018281566087655604,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
8,0.8803219027693157,0.023936514226149376,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
9,0.877123383416294,0.020809318028796018,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
10,0.8757111128993321,0.020408197757455837,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
