Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8527527618434515,0.03522515823607635,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
2,0.85096853625171,0.034757500142078096,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
3,0.8494190759751234,0.01856844370219572,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
4,0.8485982135672326,0.017310132817769365,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
5,0.8470806193886584,0.03138059286577237,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
6,0.8457628665693363,0.027494829109604907,"{'gamma': 0.40443875571174603, 'learning_rate': 0.46598573003576627, 'max_depth': 9, 'n_estimators': 54}"
7,0.8433967743047971,0.025719744371401506,"{'gamma': 0.7698372663324627, 'learning_rate': 0.5053132861681092, 'max_depth': 83, 'n_estimators': 91}"
8,0.8432570324983619,0.024086062730376574,"{'gamma': 0.9701362588452004, 'learning_rate': 0.3562306514640249, 'max_depth': 29, 'n_estimators': 54}"
9,0.8430017358516594,0.021462288889614836,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
10,0.8428602696892711,0.030346323234283788,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
