Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8718467392428927,0.022069737788553714,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
2,0.8622297761785973,0.023353307306306914,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
3,0.8619484302612974,0.0315797234978633,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
4,0.8572649415443332,0.03545044788674157,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
5,0.8567632919104714,0.030819728494706485,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
6,0.8566770281299935,0.025426422295855882,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
7,0.8551439147478417,0.029821790805922954,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
8,0.8549042292703675,0.027646943415199497,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
9,0.8526936739127937,0.028247579180191697,"{'gamma': 0.40443875571174603, 'learning_rate': 0.46598573003576627, 'max_depth': 9, 'n_estimators': 54}"
10,0.8486654634494016,0.023594786337952457,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
