Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8516636816149168,0.02121015782481402,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
2,0.8508537631194748,0.01928790970801119,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
3,0.8504005793836003,0.02422160480761864,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
4,0.8500177263791973,0.02279049908468396,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
5,0.849196749014243,0.024283779078553388,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
6,0.8479121957948706,0.019647751260289104,"{'gamma': 0.9701362588452004, 'learning_rate': 0.3562306514640249, 'max_depth': 29, 'n_estimators': 54}"
7,0.8474623228224258,0.0272071583242472,"{'gamma': 0.4659223040525834, 'learning_rate': 0.49649395415166897, 'max_depth': 77, 'n_estimators': 12}"
8,0.8461726195266068,0.027217841261130107,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
9,0.845686764993275,0.029522832173748566,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
10,0.8434276977548885,0.024114147244837875,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
