Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8548492797939968,0.041025099410561455,{'n_estimators': 583}
2,0.854336893170401,0.036626198685805175,{'n_estimators': 218}
3,0.8528319442688156,0.04167159990432974,{'n_estimators': 937}
4,0.8524070744576902,0.04436901517508951,{'n_estimators': 853}
5,0.8522399153916013,0.039901573483023936,{'n_estimators': 391}
6,0.8519498787202979,0.042640517190411883,{'n_estimators': 725}
7,0.851923323638621,0.04403244009432606,{'n_estimators': 456}
8,0.8518741335111336,0.037527184440846656,{'n_estimators': 113}
9,0.851368425892929,0.04198337851477142,{'n_estimators': 723}
10,0.8513048086539676,0.041241673788761014,{'n_estimators': 715}
