Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.897385784409523,0.011147331794295261,"{'gamma': 0.2100179604860788, 'learning_rate': 0.8932934069681703, 'max_depth': 85, 'n_estimators': 83}"
2,0.89603660232903,0.02496227573167386,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
3,0.8943537918587408,0.02303594318190511,"{'gamma': 0.47586551361064056, 'learning_rate': 0.3362306466877405, 'max_depth': 66, 'n_estimators': 82}"
4,0.893467426916047,0.015234495130723247,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
5,0.8929912057846394,0.016508637401820712,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
6,0.8929819172539057,0.022984820312915925,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
7,0.8921390750554667,0.022949498054462593,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
8,0.8919839060111048,0.02672896112906312,"{'gamma': 0.583804998683989, 'learning_rate': 0.7541850344417741, 'max_depth': 41, 'n_estimators': 97}"
9,0.8919181505707618,0.023539234634487077,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
10,0.8906691880582602,0.024729885352410386,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
