Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8579503155571395,0.029444053095105588,"{'gamma': 0.4445154500715578, 'learning_rate': 0.06983241342518132, 'max_depth': 43, 'n_estimators': 59}"
2,0.8578373587465082,0.02447090748290239,"{'gamma': 0.10975827626026058, 'learning_rate': 0.23941843434421006, 'max_depth': 82, 'n_estimators': 87}"
3,0.8560700088516938,0.027910376658610726,"{'gamma': 0.9701362588452004, 'learning_rate': 0.3562306514640249, 'max_depth': 29, 'n_estimators': 54}"
4,0.8560001379484762,0.02874538612427114,"{'gamma': 0.9294363745609192, 'learning_rate': 0.12885852603866121, 'max_depth': 53, 'n_estimators': 62}"
5,0.8553839221050937,0.023800064235080378,"{'gamma': 0.24542610478246796, 'learning_rate': 0.2884124064098422, 'max_depth': 10, 'n_estimators': 80}"
6,0.8542907723965099,0.027627851517320827,"{'gamma': 0.25941683493098533, 'learning_rate': 0.171363258084957, 'max_depth': 81, 'n_estimators': 32}"
7,0.8536817298738921,0.028821391487474545,"{'gamma': 0.44169968755250855, 'learning_rate': 0.36615992571969247, 'max_depth': 59, 'n_estimators': 60}"
8,0.8518642816907885,0.023616731758862856,"{'gamma': 0.14769985292022558, 'learning_rate': 0.5291844022508702, 'max_depth': 72, 'n_estimators': 94}"
9,0.8511767464851878,0.03256745960164838,"{'gamma': 0.6468059330903948, 'learning_rate': 0.14287374272110687, 'max_depth': 44, 'n_estimators': 83}"
10,0.8483291450643184,0.029854743109830287,"{'gamma': 0.7698372663324627, 'learning_rate': 0.5053132861681092, 'max_depth': 83, 'n_estimators': 91}"
