Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8851999908034349,0.022152139364730025,{'n_estimators': 96}
2,0.884792720918737,0.02212648936621987,{'n_estimators': 190}
3,0.8832333283518606,0.01965880284488383,{'n_estimators': 186}
4,0.8830084953269953,0.021245720308949317,{'n_estimators': 222}
5,0.8825594730368209,0.0214220367184572,{'n_estimators': 114}
6,0.8823100851831841,0.02106944021014732,{'n_estimators': 218}
7,0.8818484176160204,0.023368030666107986,{'n_estimators': 257}
8,0.8816270792858866,0.018416131822309563,{'n_estimators': 113}
9,0.8803090965524376,0.023704799944172093,{'n_estimators': 55}
10,0.879959856993413,0.020142573711645125,{'n_estimators': 201}
