Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,85.52734070727527,79.44444444444444,71.8258295684686,0.41608352617094335,0.8854961832061069,0.5510204081632653,0.8405797101449275,0.6428571428571429,0.061515092849731445
RandomForestClassifier,85.1534506932544,80.55555555555556,71.95045957314224,0.4163264300574645,0.9083969465648855,0.5306122448979592,0.8380281690140845,0.6842105263157895,0.27382421493530273
AdaBoostClassifier,85.82333696837513,81.11111111111111,73.60959651035986,0.6546053854988287,0.9007633587786259,0.5714285714285714,0.8489208633093526,0.6829268292682927,0.16421747207641602
GradientBoostingClassifier,83.31515812431843,78.33333333333333,71.70119956379499,0.46141383497254934,0.8625954198473282,0.5714285714285714,0.8432835820895522,0.6086956521739131,0.17369437217712402
SGDClassifier,74.36516591369372,78.88888888888889,73.99906527496495,6.934684399028462,0.8473282442748091,0.6326530612244898,0.8604651162790697,0.6078431372549019,0.015198945999145508
SVC,82.99579373734225,80.55555555555556,73.22791712104689,0.45089928089608783,0.8931297709923665,0.5714285714285714,0.8478260869565217,0.6666666666666666,0.06697607040405273
MLPClassifier,85.69870696370151,80.0,72.20750895778158,0.426129612925749,0.8931297709923665,0.5510204081632653,0.841726618705036,0.6585365853658537,0.5831561088562012
KNeighborsClassifier,79.98909487459105,79.44444444444444,71.8258295684686,2.0503020633345947,0.8854961832061069,0.5510204081632653,0.8405797101449275,0.6428571428571429,0.034607648849487305
LinearDiscriminantAnalysis,85.20018694500702,80.0,73.48496650568624,0.4166603949019635,0.8778625954198473,0.5918367346938775,0.8518518518518519,0.6444444444444445,0.08615279197692871
QuadraticDiscriminantAnalysis,86.58669574700109,83.33333333333334,82.16233058108739,0.49576184752059066,0.8473282442748091,0.7959183673469388,0.9173553719008265,0.6610169491525424,0.10767078399658203
BaggingClassifier,82.04548995170587,79.44444444444444,73.10328711637327,1.1255711065049558,0.8702290076335878,0.5918367346938775,0.8507462686567164,0.6304347826086957,0.05706024169921875
XGBClassifier,84.00062315002337,79.44444444444444,72.46455834242094,0.5658217734155693,0.8778625954198473,0.5714285714285714,0.8455882352941176,0.6363636363636364,0.1125020980834961
