Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,85.07555694033339,77.77777777777779,68.76460507867269,0.42161827964961496,0.8854961832061069,0.4897959183673469,0.8226950354609929,0.6153846153846154,0.041414499282836914
RandomForestClassifier,83.25284312198163,78.88888888888889,69.52796385729864,0.4340019593447911,0.9007633587786259,0.4897959183673469,0.8251748251748252,0.6486486486486487,0.2845149040222168
AdaBoostClassifier,82.78548060445551,80.55555555555556,73.22791712104689,0.6607780161464223,0.8931297709923665,0.5714285714285714,0.8478260869565217,0.6666666666666666,0.16769933700561523
GradientBoostingClassifier,81.88191307057173,75.55555555555556,65.32170119956379,0.47954012897555554,0.8778625954198473,0.42857142857142855,0.8041958041958042,0.5675675675675675,0.21729207038879395
SGDClassifier,73.77317339149401,78.33333333333333,73.61738588565197,7.115817447746533,0.8396946564885496,0.6326530612244898,0.859375,0.5961538461538461,0.014715909957885742
SVC,82.06885807758219,76.11111111111111,67.61956691073377,0.4445784594791621,0.8625954198473282,0.4897959183673469,0.8188405797101449,0.5714285714285714,0.07491612434387207
MLPClassifier,85.99470322480137,80.0,73.48496650568624,0.42555301336376605,0.8778625954198473,0.5918367346938775,0.8518518518518519,0.6444444444444445,0.68937087059021
KNeighborsClassifier,77.06807914005297,77.22222222222223,69.66038323726438,1.5412599042833064,0.8625954198473282,0.5306122448979592,0.8308823529411765,0.5909090909090909,0.053995609283447266
LinearDiscriminantAnalysis,84.96650568624396,78.88888888888889,70.8054214052033,0.4186710892539538,0.8854961832061069,0.5306122448979592,0.8345323741007195,0.6341463414634146,0.07762432098388672
QuadraticDiscriminantAnalysis,85.62081321078048,80.0,78.59479669730487,0.5315346195873183,0.816793893129771,0.7551020408163265,0.8991596638655462,0.6065573770491803,0.013972997665405273
BaggingClassifier,80.1526717557252,74.44444444444444,67.75198629069949,0.8036921078696082,0.8244274809160306,0.5306122448979592,0.8244274809160306,0.5306122448979592,0.05570387840270996
XGBClassifier,84.04735940177596,80.0,71.56878018382926,0.5862228384091901,0.9007633587786259,0.5306122448979592,0.8368794326241135,0.6666666666666666,0.08492231369018555
