Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,79.2491042218414,76.11111111111111,66.3421093628291,0.7123075159202974,0.8778625954198473,0.4489795918367347,0.8098591549295775,0.5789473684210527,0.05975008010864258
RandomForestClassifier,76.1956691073376,73.88888888888889,52.04081632653062,0.5280494532600737,1.0,0.04081632653061224,0.7359550561797753,1.0,0.8129756450653076
AdaBoostClassifier,82.41159059043466,78.88888888888889,70.16669263125097,0.6479498060748385,0.8931297709923665,0.5102040816326531,0.8297872340425532,0.6410256410256411,1.600203275680542
GradientBoostingClassifier,86.02586072596976,80.55555555555556,69.39554447733292,0.42346740264368254,0.9389312977099237,0.4489795918367347,0.82,0.7333333333333333,6.540158033370972
SGDClassifier,56.25486835955756,74.44444444444444,56.25486835955756,8.826576189810508,0.9618320610687023,0.16326530612244897,0.7544910179640718,0.6153846153846154,0.0382080078125
SVC,83.56441813366567,72.77777777777777,50.0,0.43323368054926864,1.0,0.0,0.7277777777777777,,0.43665504455566406
MLPClassifier,74.09253777847016,71.66666666666667,62.649945474372956,0.6154133525461373,0.8244274809160306,0.42857142857142855,0.7941176470588235,0.4772727272727273,0.7775788307189941
KNeighborsClassifier,57.24411902165447,72.77777777777777,50.63872877395232,4.695559723495173,0.9923664122137404,0.02040816326530612,0.7303370786516854,0.5,0.05632758140563965
LinearDiscriminantAnalysis,63.904034896401306,63.888888888888886,57.30643402399127,3.3894579582556315,0.7175572519083969,0.42857142857142855,0.7704918032786885,0.3620689655172414,0.31067991256713867
QuadraticDiscriminantAnalysis,56.34055148777068,43.888888888888886,56.34055148777068,19.380091199366547,0.2900763358778626,0.8367346938775511,0.8260869565217391,0.30597014925373134,0.1397089958190918
BaggingClassifier,84.28104066053903,81.66666666666667,79.10110609129148,0.5892220294733196,0.8473282442748091,0.7346938775510204,0.8951612903225806,0.6428571428571429,1.1412956714630127
XGBClassifier,87.84857454432155,83.88888888888889,78.7116373266864,0.4218147118613059,0.9007633587786259,0.673469387755102,0.8805970149253731,0.717391304347826,0.49684739112854004
