Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,87.31889702445864,80.55555555555556,77.06028976476087,0.4055135541248699,0.8473282442748091,0.6938775510204082,0.8809523809523809,0.6296296296296297,0.056497812271118164
RandomForestClassifier,85.79217946720674,78.33333333333333,67.868826920081,0.4198142264423791,0.9083969465648855,0.4489795918367347,0.815068493150685,0.6470588235294118,0.37025928497314453
AdaBoostClassifier,82.78548060445551,78.88888888888889,72.08287895310797,0.6439314207953389,0.8702290076335878,0.5714285714285714,0.8444444444444444,0.6222222222222222,0.2049391269683838
GradientBoostingClassifier,85.83891571895934,78.88888888888889,72.08287895310797,0.4188384246776814,0.8702290076335878,0.5714285714285714,0.8444444444444444,0.6222222222222222,0.3826770782470703
SGDClassifier,73.15781274341799,76.11111111111111,73.36812587630473,8.252790304641964,0.7938931297709924,0.673469387755102,0.8666666666666667,0.55,0.015383243560791016
SVC,84.1486212805733,81.66666666666667,73.35254712572052,0.42641380197410983,0.916030534351145,0.5510204081632653,0.8450704225352113,0.7105263157894737,0.09024858474731445
MLPClassifier,87.22542452095342,78.33333333333333,73.61738588565197,0.4416235164999169,0.8396946564885496,0.6326530612244898,0.859375,0.5961538461538461,0.804356575012207
KNeighborsClassifier,71.70898893908708,72.22222222222221,56.64433712416263,1.3890889481904651,0.9083969465648855,0.22448979591836735,0.7579617834394905,0.4782608695652174,0.05256295204162598
LinearDiscriminantAnalysis,87.20984577036923,80.0,77.31733914940023,0.4171707909995722,0.8320610687022901,0.7142857142857143,0.8861788617886179,0.6140350877192983,0.048813581466674805
QuadraticDiscriminantAnalysis,84.79513942981772,81.11111111111111,76.80324038012152,0.6873243493178572,0.8625954198473282,0.673469387755102,0.875968992248062,0.6470588235294118,0.04836130142211914
BaggingClassifier,85.30144882380432,81.11111111111111,76.16451160616919,0.9143201498375231,0.8702290076335878,0.6530612244897959,0.8702290076335878,0.6530612244897959,0.10497832298278809
XGBClassifier,83.79809939242872,78.33333333333333,71.06247078984265,0.575874593985807,0.8702290076335878,0.5510204081632653,0.8382352941176471,0.6136363636363636,0.1018519401550293
